CMPD_CHEMBLID	CANONICAL_SMILES	ACTIVITY_ID	Inhibition
CHEMBL1909355	Cl.CS(=O)(=O)CCNCc1nc(cs1)c2ccc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2	8124278	4.25
CHEMBL458415	COc1cc2CCN(C(=O)CN(C)C)c2cc1Nc3nc(N4CCc5ccccc45)c6cc[nH]c6n3	8145525	-3.36
CHEMBL1096634	CCn1c(nc2c(nc(OC[C@H](N)c3ccccc3)cc12)C#CC(C)(C)O)c4nonc4N	8107696	-0.29
CHEMBL373751	COc1cc2ncn(c3cc(OCc4ccccc4S(=O)(=O)C)c(C#N)s3)c2cc1OC	8222046	5.39
CHEMBL410072	CC(C)(CO)CNC(=O)c1ccc2NC(=O)\C(=N/Nc3ccc(cc3)S(=O)(=O)N)\c2c1	8120477	2.13
CHEMBL179311	CCS(=O)(=O)c1ccc(OC)c(Nc2oc(cn2)c3cccc(OC)c3)c1	8187692	-4.39
CHEMBL396107	Nc1ncnc2occ(c3ccc(NC(=O)Nc4cc(cc(c4)C(F)(F)F)C(F)(F)F)cc3)c12	8174419	-10.9
CHEMBL1909390	OC(=O)C(F)(F)F.[O-][S+]1CCN(Cc2oc(cc2)c3ccc4ncnc(Nc5ccc(OCc6cccc(F)c6)c(Cl)c5)c4c3)CC1	8144344	9.08
CHEMBL519881	COc1cc(Nc2ncc3c(C)nc(c4cccc(Oc5ccccc5)c4)n3n2)cc(OC)c1OC	8132275	-5.12
CHEMBL473629	COc1cc2ncn(c3cc(OCCc4ccccc4)c(s3)C(=O)N)c2cc1OC	8079505	-5.52
CHEMBL1096626	CCn1c(nc2c(nc(OC[C@@H](N)c3ccccc3)cc12)C#CC(C)(C)O)c4nonc4N	8097948	2.1
CHEMBL305477	COc1cccc(\C=N\Nc2ncnc3c2cnn3c4cccc(OC)c4)c1	8140514	4.23
CHEMBL194062	NS(=O)(=O)c1ccc(Nc2oc(cn2)c3ccccc3)cc1	8157112	5.63
CHEMBL471789	COc1cc2ncn(c3cc(OCc4ccccc4C(F)(F)F)c(s3)C(=O)C)c2cc1OC	8103867	2.47
