"Molecule ChEMBL ID","Molecular Weight","AlogP","Smiles","IC50"
"CHEMBL1835038",374.45,3.95,"NC(=O)c1cnc(NC2CCCCC2)c3c4ccc(cc4[nH]c13)c5ccn[nH]5",23.0
"CHEMBL1835041",402.5,4.31,"C[C@H](Nc1ccc(C(=O)N)c2[nH]c3cc(ccc3c12)c4cnc(N)nc4)C(C)(C)C",12.0
"CHEMBL1835043",402.5,4.31,"C[C@H](Nc1ccc(C(=O)N)c2[nH]c3cc(ccc3c12)c4ccc(N)nn4)C(C)(C)C",10.0
"CHEMBL1835138",374.45,3.43,"C[C@@H](Nc1ncc(C(=O)N)c2[nH]c3cc(ccc3c12)c4cnn(C)c4)C5CC5",45.0
"CHEMBL1835140",402.5,4.06,"CC(C)C(Nc1ncc(C(=O)N)c2[nH]c3cc(ccc3c12)c4cnn(C)c4)C5CC5",49.0
"CHEMBL1835142",428.42,3.97,"Cn1cc(cn1)c2ccc3c(c2)[nH]c4c(cnc(N[C@H](C5CC5)C(F)(F)F)c34)C(=O)N",20.7
"CHEMBL1835144",430.43,4.21,"CC(C)[C@@H](Nc1ncc(C(=O)N)c2[nH]c3cc(ccc3c12)c4cnn(C)c4)C(F)(F)F",3.0
"CHEMBL1835146",386.46,3.81,"NC(=O)c1cnc(NC(C2CC2)C3CC3)c4c5ccc(cc5[nH]c14)c6cn[nH]c6",21.5
"CHEMBL1835148",413.49,3.45,"NC(=O)c1cnc(NC(C2CC2)C3CC3)c4c5ccc(cc5[nH]c14)c6cnc(N)cn6",52.0
"CHEMBL1835150",440.43,4.21,"NC(=O)c1cnc(N[C@H](C2CC2)C(F)(F)F)c3c4ccc(cc4[nH]c13)c5ccc(N)nc5",31.5
"CHEMBL1835152",559.57,3.26,"NC(=O)c1cnc(N[C@H](C2CC2)C(F)(F)F)c3c4ccc(cc4[nH]c13)c5ccc(nn5)N6CCS(=O)(=O)CC6",61.0
"CHEMBL1921819",562.74,4.78,"C[C@H](O)CN1CCC(CC1)c2ccc(Nc3ncc4ccc(c5cccc(c5)S(=O)(=O)NC(C)(C)C)n4n3)cc2",1.5
"CHEMBL1923570",346.39,4.16,"COc1ccc(Nc2ncc3ccc(c4ccccc4OC)n3n2)cc1",0.5
"CHEMBL1923572",423.5,3.4,"COc1ccccc1c2ccc3cnc(Nc4ccc(cc4)S(=O)(=O)N(C)C)nn23",2.1
"CHEMBL1923574",458.57,3.65,"COc1ccccc1c2ccc3cnc(Nc4ccc(cc4)N5CCN(C[C@H](C)O)CC5)nn23",0.47
"CHEMBL1923576",414.51,3.9,"COc1ccccc1c2ccc3cnc(Nc4cccc(c4)N5CCN(C)CC5)nn23",0.8
"CHEMBL1923578",553.66,3.18,"C[C@H](O)CN1CCN(CC1)c2ccc(Nc3ncc4ccc(c5ccccc5N(C)S(=O)(=O)C)n4n3)cc2F",1.0
"CHEMBL1923580",581.72,3.86,"C[C@H](O)CN1CCN(CC1)c2ccc(Nc3ncc4ccc(c5cccc(c5)S(=O)(=O)NC(C)(C)C)n4n3)cc2F",0.36
"CHEMBL1923582",526.07,3.94,"CN(c1ccccc1c2ccc3cnc(Nc4ccc(N5CCN(C)CC5)c(Cl)c4)nn23)S(=O)(=O)C",1.1
"CHEMBL1923584",448.96,4.55,"COc1ccccc1c2ccc3cnc(Nc4ccc(N5CCN(C)CC5)c(Cl)c4)nn23",0.5
"CHEMBL1923586",537.67,4.11,"CN1CCN(CC1)c2ccc(Nc3ncc4ccc(c5cccc(c5)S(=O)(=O)NC(C)(C)C)n4n3)cc2F",1.0
"CHEMBL1923588",415.5,3.3,"COc1ccc(cn1)c2ccc3cnc(Nc4ccc(cc4)N5CCN(C)CC5)nn23",0.3
"CHEMBL1923590",449.95,3.95,"COc1ccc(cn1)c2ccc3cnc(Nc4ccc(N5CCN(C)CC5)c(Cl)c4)nn23",0.4
"CHEMBL1923592",534.69,4.1,"C[C@H](O)CN1CCC(CC1)c2ccc(Nc3ncc4ccc(c5ccccc5N(C)S(=O)(=O)C)n4n3)cc2",0.9
"CHEMBL1923594",458.57,4.1,"COc1ccc(cn1)c2ccc3cnc(Nc4ccc(cc4)C5CCN(C[C@H](C)O)CC5)nn23",0.5
"CHEMBL1933344",412.5,4.53,"CN1CC=CCCOc2cccc(c2)c3nc(Nc4cccc(C1)c4)nc5[nH]cnc35",450.0
"CHEMBL1933346",419.45,2.68,"COc1ccc(cc1OC)c2nc(Nc3cccc(NC(=O)CN)c3)nc4[nH]cnc24",330.0
"CHEMBL1934335",456.55,3.81,"COc1ccccc1c2ccc3cnc(Nc4ccc(cc4)C5CCN(CC(=O)N)CC5)nn23",20.8
"CHEMBL1934337",561.71,3.88,"CC(C)(C)NS(=O)(=O)c1cccc(c1)c2ccc3cnc(Nc4ccc(cc4)C5CCN(CC(=O)N)CC5)nn23",45.32
"CHEMBL1934339",519.63,3.18,"CS(=O)(=O)Nc1cccc(c1)c2ccc3cnc(Nc4ccc(cc4)C5CCN(CC(=O)N)CC5)nn23",30.11
"CHEMBL1934341",456.55,3.3,"NC(=O)CN1CCC(CC1)c2ccc(Nc3ncc4ccc(c5cccc(CO)c5)n4n3)cc2",13.635
"CHEMBL1934343",504.62,3.21,"CS(=O)(=O)c1cccc(c1)c2ccc3cnc(Nc4ccc(cc4)C5CCN(CC(=O)N)CC5)nn23",29.26
"CHEMBL1934345",457.54,3.21,"COc1cccnc1c2ccc3cnc(Nc4ccc(cc4)C5CCN(CC(=O)N)CC5)nn23",578.0
"CHEMBL1934347",428.5,2.59,"NC(=O)CN1CCC(CC1)c2ccc(Nc3ncc4ccc(c5cnccn5)n4n3)cc2",145.45
"CHEMBL1934350",545.67,3.08,"CS(=O)(=O)N1Cc2cccc(c2C1)c3ccc4cnc(Nc5ccc(cc5)C6CCN(CC(=O)N)CC6)nn34",16.0
"CHEMBL1934352",547.69,3.51,"CN(c1ccccc1c2cc(C)c3cnc(Nc4ccc(cc4)C5CCN(CC(=O)N)CC5)nn23)S(=O)(=O)C",21.3
"CHEMBL1938642",354.44,2.48,"NC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4",390.0
"CHEMBL1938645",430.53,4.63,"Nc1ncc(C(=O)Nc2ccccc2)c3sc(cc13)c4ccc(cc4)N5CCOCC5",72.0
"CHEMBL1938647",410.54,3.91,"CC(C)(C)NC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4",1170.0
"CHEMBL1938649",283.36,2.91,"CNC(=O)c1cnc(N)c2cc(sc12)c3ccccc3",58.0
"CHEMBL1938652",367.35,3.8,"CNC(=O)c1cnc(N)c2cc(sc12)c3ccc(OC(F)(F)F)cc3",1451.0
"CHEMBL1938654",418.53999999999996,2.98,"CNC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)S(=O)(=O)NC(C)(C)C",634.75
"CHEMBL1938656",462.6,3.0,"COCCNC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)S(=O)(=O)NC(C)(C)C",1261.75
"CHEMBL1938659",517.68,2.6799999999999997,"CC(C)(C)NS(=O)(=O)c1ccc(cc1)c2cc3c(N)ncc(C(=O)NCCN4CCOCC4)c3s2",990.0
"CHEMBL1944700",372.47,4.41,"CN1CC=CCOCc2cccc(Nc3nccc(n3)c4cccc(C1)c4)c2",230.0
"CHEMBL1944870",414.55,5.68,"CC(C)CN1CC=CCCOc2cccc(c2)c3ccnc(Nc4cccc(C1)c4)n3",1500.0
"CHEMBL1945045",449.56,5.62,"C(N1CC=CCCOc2cccc(c2)c3ccnc(Nc4cccc(C1)c4)n3)c5ccccn5",1350.0
"CHEMBL1945049",457.58,4.55,"CC(C)NCC(=O)N1CC=CCCOc2cccc(c2)c3ccnc(Nc4cccc(C1)c4)n3",120.0
"CHEMBL1945051",406.92,5.31,"CN1CC=CCCOc2cccc(c2)c3ccnc(Nc4ccc(Cl)c(C1)c4)n3",82.0
"CHEMBL1945565",446.55,4.68,"COCCOc1ccc2Nc3nccc(n3)c4cccc(OCCC=CCN(C)Cc1c2)c4",62.0
"CHEMBL1945567",508.64,4.47,"CCS(=O)(=O)CCOc1ccc2Nc3nccc(n3)c4cccc(OCCC=CCN(C)Cc1c2)c4",110.0
"CHEMBL1945569",457.58,4.49,"CN1CC=CCCOc2cccc(c2)c3ccnc(Nc4ccc(N5CCOCC5)c(C1)c4)n3",49.0
"CHEMBL1945704",485.63,5.13,"CN1CC=CCCOc2cccc(c2)c3ccnc(Nc4ccc(OCCN5CCCC5)c(C1)c4)n3",56.0
"CHEMBL1945706",514.67,4.28,"CN1CCN(CCOc2ccc3Nc4nccc(n4)c5cccc(OCCC=CCN(C)Cc2c3)c5)CC1",220.0
"CHEMBL1945822",553.63,6.06,"FC(F)(F)CN1CC=CCCOc2cccc(c2)c3ccnc(Nc4ccc(OCCN5CCCC5)c(C1)c4)n3",220.0
"CHEMBL1946004",515.66,5.14,"COc1cc2Nc3nccc(n3)c4cccc(OCCC=CCN(C)Cc(c2)c1OCCN5CCCC5)c4",210.0
